accident_id,date,time,city,latitude,longitude,weather,severity,vehicle_type,cause,casualties,reported_by
A300000,2022-06-16,18:28,Pune,13.847645,70.254967,Hazy,Minor,Truck,Distracted,0,Police
A300001,2022-10-21,13:25,Lucknow,23.169405,69.839047,Hazy,Severe,Car,Unknown,0,Insurance
A300002,2023-02-20,09:00,Bengaluru,9.500948,71.478841,Clear,Moderate,Car,Weather,2,Citizen
A300003,2023-10-18,06:12,Delhi,20.659165,76.30934,Rain,Minor,Bus,Unknown,0,Citizen
A300004,2022-08-15,21:04,Chennai,14.593009,68.297978,Clear,Minor,Motorcycle,Speeding,1,Police
A300005,2021-01-04,22:31,Chennai,13.534593,76.054824,Rain,Minor,Bus,Distracted,1,Police
A300006,2025-05-14,00:02,Mumbai,8.04701,69.610019,Clear,Fatal,Bus,Drunk Driving,0,Insurance
A300007,2025-03-04,14:27,Bengaluru,24.722369,70.111564,Clear,Minor,Motorcycle,Speeding,0,Police
A300008,2025-09-26,18:19,Chennai,22.192525,75.551767,Rain,Moderate,Bus,Speeding,1,Police
A300009,2025-09-29,22:15,Delhi,16.300485,75.549709,Fog,Minor,Car,Weather,0,Police
A300010,2024-02-10,21:13,Delhi,23.603603,74.271247,Rain,Minor,Motorcycle,Drunk Driving,0,Police
A300011,2024-09-30,14:54,Jaipur,23.040864,72.813536,Clear,Moderate,Motorcycle,Speeding,0,Police
A300012,2023-05-16,00:07,Bengaluru,17.865819,72.148314,Snow (rare),Minor,Car,Drunk Driving,1,Citizen
A300013,2022-02-10,14:10,Chennai,15.884824,70.655469,Fog,Minor,Car,Drunk Driving,0,Police
A300014,2025-03-31,04:49,Mumbai,9.785941,69.857037,Clear,Minor,Car,Weather,1,Police
A300015,2024-05-09,11:25,Mumbai,11.549965,70.612558,Clear,Minor,Bus,Drunk Driving,0,Police
A300016,2024-05-01,03:34,Lucknow,15.732317,73.8398,Clear,Minor,Car,Speeding,0,Citizen
A300017,2021-01-28,21:26,Chennai,9.533136,77.099871,Clear,Moderate,Car,Distracted,0,Police
A300018,2021-05-16,11:08,Delhi,13.945034,77.627232,Clear,Severe,Bicycle,Speeding,0,Police
A300019,2021-10-04,07:31,Surat,22.276362,72.505926,Rain,Minor,Motorcycle,Distracted,0,Police
A300020,2021-12-12,02:32,Delhi,25.241434,75.897172,Hazy,Minor,Motorcycle,Bad Road,0,Police
A300021,2021-07-05,15:57,Pune,19.592562,77.087709,Fog,Minor,Car,Drunk Driving,0,Police
A300022,2023-09-27,13:20,Kolkata,10.948244,69.291779,Clear,Minor,Bus,Speeding,1,Police
A300023,2023-10-25,08:42,Jaipur,23.535272,69.861399,Rain,Moderate,Car,Unknown,1,Police
A300024,2022-03-03,06:36,Surat,25.812687,72.427845,Storm,Minor,Motorcycle,Weather,0,Police
A300025,2022-07-23,01:09,Hyderabad,20.495475,72.451235,Clear,Severe,Motorcycle,Unknown,1,Citizen
A300026,2024-09-09,07:25,Mumbai,20.029421,75.540074,Rain,Minor,Truck,Mechanical Failure,0,Police
A300027,2021-02-20,08:05,Mumbai,25.50166,73.176357,Clear,Minor,Motorcycle,Bad Road,0,Citizen
A300028,2023-10-31,13:07,Bengaluru,22.859368,77.531553,Rain,Minor,Motorcycle,Distracted,0,Police
A300029,2022-03-08,20:38,Hyderabad,8.827138,68.880949,Clear,Minor,Car,Unknown,0,Police
A300030,2021-01-14,04:52,Lucknow,24.679304,75.704078,Clear,Severe,Bus,Distracted,2,Police
A300031,2025-03-28,11:14,Lucknow,14.161638,70.027551,Clear,Minor,Motorcycle,Distracted,0,Police
A300032,2022-02-01,10:29,Mumbai,13.099155,75.882313,Clear,Minor,Bus,Bad Road,0,Police
A300033,2021-03-04,04:34,Kolkata,20.352482,71.186523,Fog,Minor,Bus,Bad Road,0,Police
A300034,2024-11-08,20:10,Chennai,18.288066,76.033923,Clear,Moderate,Bus,Unknown,0,Citizen
A300035,2022-05-02,16:29,Surat,17.689959,71.589748,Clear,Moderate,Bus,Distracted,0,Citizen
A300036,2023-03-06,19:03,Surat,10.184086,69.631647,Clear,Minor,Bicycle,Drunk Driving,0,Citizen
A300037,2021-05-21,14:03,Lucknow,17.992106,71.894666,Fog,Moderate,Car,Drunk Driving,1,Insurance
A300038,2024-12-19,04:18,Chennai,16.745573,74.809779,Clear,Minor,Motorcycle,Bad Road,0,Citizen
A300039,2024-04-10,22:34,Bengaluru,8.793212,68.685376,Clear,Minor,Bus,Drunk Driving,0,Police
A300040,2021-02-01,15:29,Pune,24.567496,70.781246,Clear,Minor,Bicycle,Speeding,0,Citizen
A300041,2021-09-02,03:58,Pune,8.975405,77.675066,Hazy,Minor,Motorcycle,Unknown,0,Police
A300042,2025-06-28,03:13,Pune,13.254791,77.101981,Clear,Minor,Bus,Distracted,0,Police
A300043,2023-12-30,00:25,Pune,24.57764,71.373718,Clear,Severe,Pedestrian,Distracted,0,Police
A300044,2021-11-03,20:14,Lucknow,21.268229,68.518056,Clear,Minor,Motorcycle,Mechanical Failure,0,Police
A300045,2023-04-15,12:01,Hyderabad,25.587427,75.068995,Hazy,Fatal,Car,Bad Road,1,Police
A300046,2022-09-19,19:39,Pune,22.677351,74.848384,Storm,Minor,Truck,Unknown,0,Police
A300047,2021-08-12,03:26,Kolkata,25.753371,70.514999,Rain,Minor,Pedestrian,Distracted,0,Police
A300048,2022-07-20,14:42,Jaipur,28.119735,70.527764,Clear,Moderate,Motorcycle,Drunk Driving,0,Citizen
A300049,2022-03-17,09:54,Jaipur,27.959961,76.021574,Rain,Minor,Motorcycle,Mechanical Failure,0,Police
A300050,2025-03-22,11:23,Mumbai,13.405242,77.072928,Clear,Moderate,Motorcycle,Weather,0,Police
A300051,2022-01-30,15:21,Chennai,28.128504,73.148884,Rain,Moderate,Bus,Weather,1,Police
A300052,2021-01-23,00:45,Surat,21.699429,73.361855,Clear,Moderate,Motorcycle,Unknown,0,Police
A300053,2023-06-22,20:44,Pune,9.596914,70.95432,Clear,Minor,Car,Speeding,0,Police
A300054,2021-08-22,17:24,Lucknow,19.227702,73.404836,Clear,Severe,Truck,Unknown,0,Police
A300055,2021-12-28,18:37,Surat,18.401668,71.494628,Fog,Minor,Motorcycle,Drunk Driving,0,Police
A300056,2025-05-07,14:55,Delhi,19.914044,77.001768,Clear,Minor,Motorcycle,Unknown,0,Citizen
A300057,2021-07-16,19:28,Bengaluru,11.495423,70.155697,Clear,Moderate,Car,Bad Road,0,Police
A300058,2024-12-03,06:35,Mumbai,17.130768,74.367695,Rain,Minor,Motorcycle,Weather,0,Police
A300059,2023-03-31,03:34,Kolkata,21.027618,75.495994,Clear,Minor,Car,Drunk Driving,0,Police
A300060,2023-02-28,15:49,Chennai,28.136669,68.846329,Clear,Moderate,Car,Unknown,0,Police
A300061,2024-09-06,21:09,Mumbai,17.381486,74.343054,Clear,Minor,Motorcycle,Drunk Driving,0,Police
A300062,2025-09-15,17:17,Hyderabad,18.756615,70.899304,Fog,Minor,Motorcycle,Weather,1,Insurance
A300063,2024-01-22,02:14,Delhi,15.759416,74.152785,Fog,Minor,Car,Mechanical Failure,0,Citizen
A300064,2023-05-02,22:13,Pune,10.672876,75.962565,Clear,Minor,Motorcycle,Distracted,0,Police
A300065,2025-02-14,10:02,,14.361356,70.247853,Rain,Moderate,Pedestrian,Unknown,1,Citizen
A300066,2022-12-20,19:07,Mumbai,12.961327,68.489652,Clear,Moderate,Truck,Drunk Driving,0,Police
A300067,2024-04-29,20:07,Delhi,21.43087,70.270463,Clear,Moderate,Car,Weather,0,Citizen
A300068,2021-07-30,08:14,Lucknow,19.042329,75.984029,Clear,Minor,Truck,Unknown,1,Hospital
A300069,2024-04-17,13:18,Chennai,20.971922,73.46126,Clear,Minor,Car,Weather,0,Insurance
A300070,2022-08-28,06:44,Kolkata,19.555729,71.080877,Rain,Minor,Bicycle,Bad Road,0,Citizen
A300071,2025-01-12,09:07,Jaipur,19.147682,75.443116,Clear,Moderate,Car,Distracted,0,Police
A300072,2025-04-18,01:16,Hyderabad,23.640779,72.290176,Hazy,Minor,Motorcycle,Weather,0,Police
A300073,2021-08-15,06:19,Chennai,24.538505,74.24216,Rain,Severe,Truck,Unknown,0,Police
A300074,2023-04-05,01:17,Delhi,27.917848,74.692602,Clear,Moderate,Car,Bad Road,0,Hospital
A300075,2022-12-04,01:06,Bengaluru,25.500599,75.750709,Rain,Minor,Car,Speeding,0,Police
A300076,2024-02-17,20:01,Lucknow,11.286444,71.276153,Clear,Minor,Motorcycle,Weather,1,Citizen
A300077,2024-04-27,19:05,Delhi,16.477397,72.390926,Clear,Minor,Truck,Drunk Driving,0,Police
A300078,2022-01-23,22:22,Bengaluru,24.164501,74.540976,Storm,Minor,Car,Speeding,0,Police
A300079,2025-07-12,07:35,Delhi,9.87388,73.360333,Clear,Minor,Car,Mechanical Failure,0,Police
A300080,2023-08-30,14:17,Bengaluru,21.146016,73.857078,Clear,Minor,Bicycle,Unknown,1,Hospital
A300081,2021-06-26,15:43,Pune,20.559375,68.322911,Clear,Minor,Bus,Unknown,0,Citizen
A300082,2023-09-22,08:13,Bengaluru,14.984631,74.927133,Hazy,Minor,Car,Distracted,0,Police
A300083,2023-06-04,08:16,Lucknow,28.047776,68.979069,Fog,Minor,Motorcycle,Mechanical Failure,0,Citizen
A300084,2025-04-11,12:19,Pune,14.398361,75.568124,Clear,Minor,Motorcycle,Bad Road,1,Citizen
A300085,2023-09-12,06:06,Jaipur,22.867396,77.616724,Clear,Moderate,Car,Drunk Driving,2,Police
A300086,2024-10-20,14:46,Jaipur,23.362722,73.638376,Fog,Moderate,Bicycle,Mechanical Failure,0,Police
A300087,2025-05-02,14:04,Lucknow,24.948078,74.476718,Storm,Minor,Motorcycle,Mechanical Failure,0,Police
A300088,2022-09-23,16:57,Bengaluru,8.863127,74.934906,Fog,Severe,Car,Mechanical Failure,0,Hospital
A300089,2021-05-25,19:14,Pune,14.980755,68.79232,Rain,Moderate,Car,Weather,0,Police
A300090,2025-08-11,08:31,Kolkata,8.371351,72.828402,Hazy,Fatal,Car,Weather,1,Police
A300091,2021-08-27,00:24,Hyderabad,20.75411,69.209107,Fog,Minor,Motorcycle,Distracted,0,Police
